試合ID,フレーム番号,ホームアウェイF,システムターゲットID,背番号,座標X,座標Y,時速
0001,3,0,0,0,0.0,0.0,0.0
0001,3,1,10001,1,-48.1859,0.0216,0.192
0001,3,2,20001,1,40.0,0.0,0.0
0001,3,1,10002,2,-11.5266,-5.6519,0.089
0001,3,2,20002,2,15.7074,-5.4706,0.132
0001,3,1,10003,3,-11.8244,8.268,0.355
0001,3,2,20003,3,14.8098,18.5849,0.288
0001,3,1,10004,4,-10.1841,-17.7129,0.201
0001,3,2,20004,4,15.0363,-18.5472,0.325
0001,3,1,10005,5,-10.1296,19.2495,0.076
0001,3,2,20005,5,15.563,5.8145,0.29
0001,3,1,10006,6,-7.1912,0.7234,0.074
0001,3,2,20006,6,11.0,0.0,0.0
0001,3,1,10007,7,-0.8514,-11.4288,0.28
0001,3,2,20007,7,7.8648,14.0748,0.252
0001,3,1,10008,8,-1.2493,11.8101,0.091
0001,3,2,20008,8,7.3482,-14.6245,0.209
0001,3,1,10009,9,-0.7422,-26.537,0.316
0001,3,2,20009,9,5.3503,23.6665,0.363
0001,3,1,10010,10,-0.5403,26.6158,0.088
0001,3,2,20010,10,4.7516,-23.8028,0.274
0001,3,1,10011,11,-0.39,0.0,0.0
0001,3,2,20011,11,11.161,10.1444,0.25
0001,8,0,0,0,-0.4506,-8.9044,1.44
0001,8,1,10001,1,-45.561,0.0852,0.207
0001,8,2,20001,1,40.0,0.0,0.0
0001,8,1,10002,2,-10.9983,-4.1218,0.026
0001,8,2,20002,2,14.1959,-5.9499,0.294
0001,8,1,10003,3,-10.6124,9.9404,0.09
0001,8,2,20003,3,14.2558,14.446,0.31
0001,8,1,10004,4,-10.2778,-15.9976,0.011
0001,8,2,20004,4,14.2627,-16.4769,0.043
0001,8,1,10005,5,-9.0121,20.2639,0.163
0001,8,2,20005,5,14.5032,3.8739,0.239
0001,8,1,10006,6,-5.8486,1.398,0.08
0001,8,2,20006,6,10.9981,-1.0696,0.029
0001,8,1,10007,7,-0.6578,-9.5854,0.018
0001,8,2,20007,7,10.7437,11.8884,0.233
0001,8,1,10008,8,-0.7503,12.4698,0.147
0001,8,2,20008,8,6.9454,-11.9334,0.335
0001,8,1,10009,9,0.1318,-23.7383,0.248
0001,8,2,20009,9,4.9199,21.9566,0.22
0001,8,1,10010,10,0.3785,26.7973,0.217
0001,8,2,20010,10,4.2837,-22.2097,0.225
0001,8,1,10011,11,0.1816,0.6556,0.24
0001,8,2,20011,11,10.5112,6.931,0.343
0001,10,0,0,0,0.8244,-9.303,0.607
0001,10,1,10001,1,-44.4869,0.1411,0.212
0001,10,2,20001,1,40.0,0.0,0.0
0001,10,1,10002,2,-10.9926,-4.0841,0.005
0001,10,2,20002,2,13.8054,-6.0785,0.049
0001,10,1,10003,3,-10.4888,9.9877,0.02
0001,10,2,20003,3,14.0977,13.1314,0.214
0001,10,1,10004,4,-10.2787,-15.983,0.002
0001,10,2,20004,4,13.7542,-17.3878,0.241
0001,10,1,10005,5,-8.6044,20.7033,0.054
0001,10,2,20005,5,13.597,2.8202,0.22
0001,10,1,10006,6,-5.7294,1.4381,0.012
0001,10,2,20006,6,11.3873,-0.9584,0.17
0001,10,1,10007,7,-0.1648,-9.5513,0.201
0001,10,2,20007,7,11.483,11.5172,0.076
0001,10,1,10008,8,-0.3329,13.1005,0.158
0001,10,2,20008,8,5.969,-10.537,0.339
0001,10,1,10009,9,0.4865,-23.0374,0.147
0001,10,2,20009,9,3.919,21.1485,0.331
0001,10,1,10010,10,1.1548,27.0543,0.092
0001,10,2,20010,10,2.7815,-21.6074,0.357
0001,10,1,10011,11,0.8193,1.4408,0.196
0001,10,2,20011,11,9.7627,5.6112,0.379
0001,16,0,0,0,3.137,-1.7275,1.088
0001,16,1,10001,1,-41.2981,0.2626,0.215
0001,16,2,20001,1,40.0,0.0,0.0
0001,16,1,10002,2,-10.7337,-2.7718,0.16
0001,16,2,20002,2,13.4601,-4.6086,0.131
0001,16,1,10003,3,-9.9449,11.1996,0.188
0001,16,2,20003,3,13.683,12.4529,0.14
0001,16,1,10004,4,-9.9271,-15.3523,0.153
0001,16,2,20004,4,13.7094,-16.2273,0.201
0001,16,1,10005,5,-7.2275,21.6187,0.152
0001,16,2,20005,5,13.6048,2.4445,0.274
0001,16,1,10006,6,-4.59,1.3369,0.221
0001,16,2,20006,6,12.0659,-0.4589,0.074
0001,16,1,10007,7,1.1354,-7.2251,0.302
0001,16,2,20007,7,11.5881,13.2151,0.22
0001,16,1,10008,8,1.8724,16.2816,0.285
0001,16,2,20008,8,2.6165,-7.8512,0.258
0001,16,1,10009,9,2.5189,-18.5738,0.38
0001,16,2,20009,9,1.5361,18.2435,0.358
0001,16,1,10010,10,4.6069,27.5845,0.306
0001,16,2,20010,10,0.7847,-19.8174,0.175
0001,16,1,10011,11,2.7528,-1.1088,0.385
0001,16,2,20011,11,6.5225,1.9994,0.394
0001,20,0,0,0,5.8124,-3.1177,0.64
0001,20,1,10001,1,-39.1597,0.4069,0.227
0001,20,2,20001,1,38.3175,0.0851,0.272
0001,20,1,10002,2,-10.4451,-1.5519,0.125
0001,20,2,20002,2,14.1394,-3.8273,0.251
0001,20,1,10003,3,-9.6825,11.8668,0.019
0001,20,2,20003,3,13.8505,12.5889,0.003
0001,20,1,10004,4,-9.3172,-14.245,0.135
0001,20,2,20004,4,14.6324,-15.4947,0.243
0001,20,1,10005,5,-6.4158,22.162,0.114
0001,20,2,20005,5,14.2492,3.4188,0.015
0001,20,1,10006,6,-4.0828,1.6562,0.097
0001,20,2,20006,6,12.7764,-1.1665,0.151
0001,20,1,10007,7,2.0611,-5.8281,0.183
0001,20,2,20007,7,10.9717,15.0339,0.073
0001,20,1,10008,8,2.3947,16.743,0.114
0001,20,2,20008,8,2.0138,-6.6397,0.0
0001,20,1,10009,9,4.0444,-15.667,0.319
0001,20,2,20009,9,0.6367,17.0863,0.243
0001,20,1,10010,10,5.9142,27.9527,0.019
0001,20,2,20010,10,2.8113,-18.0438,0.307
0001,20,1,10011,11,4.9803,-2.7609,0.424
0001,20,2,20011,11,6.0799,-1.0227,0.397
0001,26,0,0,0,4.7815,-12.7774,0.346
0001,26,1,10001,1,-37.0305,0.1114,0.19
0001,26,2,20001,1,34.9833,0.2551,0.146
0001,26,1,10002,2,-10.4041,-2.5529,0.067
0001,26,2,20002,2,16.1569,-3.4306,0.009
0001,26,1,10003,3,-9.3617,11.5275,0.107
0001,26,2,20003,3,15.8347,13.3917,0.07
0001,26,1,10004,4,-8.5866,-14.3888,0.035
0001,26,2,20004,4,16.1187,-14.6815,0.166
0001,26,1,10005,5,-6.6757,21.4546,0.027
0001,26,2,20005,5,16.0069,1.735,0.084
0001,26,1,10006,6,-3.2914,1.4242,0.073
0001,26,2,20006,6,12.9314,-5.2864,0.346
0001,26,1,10007,7,2.8537,-6.1273,0.021
0001,26,2,20007,7,11.7607,16.1345,0.166
0001,26,1,10008,8,3.364,17.8974,0.275
0001,26,2,20008,8,3.4534,-6.1472,0.022
0001,26,1,10009,9,5.4447,-12.8002,0.028
0001,26,2,20009,9,-2.4279,19.2077,0.073
0001,26,1,10010,10,5.7222,25.7603,0.247
0001,26,2,20010,10,5.3976,-14.4098,0.007
0001,26,1,10011,11,7.1034,-1.5994,0.102
0001,26,2,20011,11,6.6047,-2.4145,0.263
0001,28,0,0,0,5.9144,-11.9394,0.643
0001,28,1,10001,1,-36.3063,-0.0088,0.084
0001,28,2,20001,1,34.7635,0.2638,0.026
0001,28,1,10002,2,-10.4103,-2.6504,0.012
0001,28,2,20002,2,15.9729,-4.4579,0.256
0001,28,1,10003,3,-9.1599,11.2933,0.107
0001,28,2,20003,3,15.7602,12.9494,0.15
0001,28,1,10004,4,-8.442,-14.6752,0.105
0001,28,2,20004,4,16.069,-14.9253,0.027
0001,28,1,10005,5,-6.9549,20.9443,0.111
0001,28,2,20005,5,16.0131,1.2062,0.167
0001,28,1,10006,6,-3.3292,1.3349,0.009
0001,28,2,20006,6,12.7848,-6.9145,0.317
0001,28,1,10007,7,2.8422,-6.108,0.0
0001,28,2,20007,7,11.5101,16.4253,0.136
0001,28,1,10008,8,4.0947,19.0022,0.263
0001,28,2,20008,8,3.4411,-6.1533,0.0
0001,28,1,10009,9,5.4649,-12.7662,0.005
0001,28,2,20009,9,-2.7335,19.6359,0.212
0001,28,1,10010,10,5.6057,24.6097,0.201
0001,28,2,20010,10,6.0893,-13.3065,0.326
0001,28,1,10011,11,7.4887,-0.9794,0.29
0001,28,2,20011,11,6.942,-2.5508,0.054
0001,32,0,0,0,6.0893,-13.3065,0.0
0001,32,1,10001,1,-34.849,-1.8784,0.168
0001,32,2,20001,1,36.1545,-1.9638,0.0
0001,32,1,10002,2,-5.0407,-9.3332,0.0
0001,32,2,20002,2,20.7187,-8.904,0.0
0001,32,1,10003,3,-7.7686,5.4021,0.0
0001,32,2,20003,3,19.7043,10.0485,0.0
0001,32,1,10004,4,-2.0453,-18.6576,0.0
