試合ID,フレーム番号,ホームアウェイF,システムターゲットID,背番号,座標X,座標Y,時速
0001,3090,0,0,0,0.0,0.0,0.0
0001,3090,1,10001,1,-29.9292,-0.2536,0.0
0001,3090,2,20001,1,33.0007,-0.0608,0.0
0001,3090,1,10002,2,-14.0471,-5.9371,0.0
0001,3090,2,20002,2,10.4477,3.5812,0.0
0001,3090,1,10003,3,-13.9332,6.3791,0.0
0001,3090,2,20003,3,13.0,19.0,0.0
0001,3090,1,10004,4,-13.7343,-15.9944,0.0
0001,3090,2,20004,4,12.6343,-18.1378,0.0
0001,3090,1,10005,5,-13.3585,15.3463,0.0
0001,3090,2,20005,5,2.7126,10.3544,0.0
0001,3090,1,10006,6,-13.1717,0.1336,0.0
0001,3090,2,20006,6,0.3852,-0.0479,0.0
0001,3090,1,10007,7,-8.931,-6.1516,0.0
0001,3090,2,20007,7,1.7902,24.0143,0.0
0001,3090,1,10008,8,-8.6564,6.1114,0.0
0001,3090,2,20008,8,3.2862,-4.692,0.0
0001,3090,1,10009,9,-2.4624,-22.2539,0.0
0001,3090,2,20009,9,1.3064,28.8489,0.0
0001,3090,1,10010,10,-3.5786,22.6215,0.0
0001,3090,2,20010,10,0.8846,8.3945,0.0
0001,3090,1,10011,11,-10.2326,-0.6657,0.0
0001,3090,2,20011,11,0.404,17.3675,0.0
0001,3094,0,0,0,3.0322,-3.8565,0.495
0001,3094,1,10001,1,-28.6492,-0.1145,0.106
0001,3094,2,20001,1,33.0007,-0.0608,0.0
0001,3094,1,10002,2,-12.9942,-6.5477,0.29
0001,3094,2,20002,2,10.4813,3.2649,0.013
0001,3094,1,10003,3,-13.6655,6.4217,0.128
0001,3094,2,20003,3,13.4717,18.1451,0.198
0001,3094,1,10004,4,-12.7597,-16.8239,0.27
0001,3094,2,20004,4,13.1693,-16.9462,0.288
0001,3094,1,10005,5,-12.9029,15.6452,0.111
0001,3094,2,20005,5,3.6184,10.4565,0.175
0001,3094,1,10006,6,-12.6193,-0.041,0.126
0001,3094,2,20006,6,2.425,-0.0541,0.341
0001,3094,1,10007,7,-8.5088,-6.608,0.074
0001,3094,2,20007,7,2.2787,24.2651,0.054
0001,3094,1,10008,8,-8.4313,6.0535,0.096
0001,3094,2,20008,8,3.2862,-4.692,0.0
0001,3094,1,10009,9,-2.682,-21.5314,0.092
0001,3094,2,20009,9,0.3199,28.8864,0.275
0001,3094,1,10010,10,-2.9959,22.2887,0.153
0001,3094,2,20010,10,0.1342,8.1756,0.102
0001,3094,1,10011,11,-10.0167,-0.7393,0.106
0001,3094,2,20011,11,-0.0748,17.1694,0.246
0001,3100,0,0,0,0.1295,8.8644,0.176
0001,3100,1,10001,1,-26.4573,0.0762,0.109
0001,3100,2,20001,1,33.0007,-0.0608,0.0
0001,3100,1,10002,2,-11.3061,-7.2547,0.046
0001,3100,2,20002,2,11.411,2.4666,0.168
0001,3100,1,10003,3,-11.8975,7.629,0.323
0001,3100,2,20003,3,14.1827,17.9001,0.112
0001,3100,1,10004,4,-10.7363,-17.9567,0.055
0001,3100,2,20004,4,13.3888,-14.7758,0.234
0001,3100,1,10005,5,-11.4286,17.3624,0.09
0001,3100,2,20005,5,4.482,9.8449,0.205
0001,3100,1,10006,6,-11.4457,0.234,0.188
0001,3100,2,20006,6,3.0904,0.9849,0.083
0001,3100,1,10007,7,-7.9026,-6.2938,0.162
0001,3100,2,20007,7,3.2339,25.3625,0.088
0001,3100,1,10008,8,-7.741,7.1821,0.274
0001,3100,2,20008,8,1.1563,-5.8918,0.286
0001,3100,1,10009,9,-2.7811,-21.4858,0.047
0001,3100,2,20009,9,-5.1113,28.5071,0.432
0001,3100,1,10010,10,-2.8118,21.3546,0.08
0001,3100,2,20010,10,-0.2555,8.8582,0.001
0001,3100,1,10011,11,-7.5923,-0.1878,0.35
0001,3100,2,20011,11,-4.8848,17.0219,0.387
0001,3104,0,0,0,-1.1159,11.6773,0.661
0001,3104,1,10001,1,-27.2996,1.4757,0.101
0001,3104,2,20001,1,33.0007,-0.0608,0.0
0001,3104,1,10002,2,-11.2208,-6.5483,0.045
0001,3104,2,20002,2,11.5336,3.2703,0.033
0001,3104,1,10003,3,-11.2912,9.5261,0.161
0001,3104,2,20003,3,14.1179,18.0676,0.002
0001,3104,1,10004,4,-11.1665,-17.7619,0.201
0001,3104,2,20004,4,12.7641,-12.5912,0.269
0001,3104,1,10005,5,-10.9227,19.9574,0.119
0001,3104,2,20005,5,4.4965,10.9342,0.151
0001,3104,1,10006,6,-11.0855,1.6573,0.093
0001,3104,2,20006,6,3.1017,1.1186,0.002
0001,3104,1,10007,7,-7.2393,-5.2306,0.168
0001,3104,2,20007,7,3.9343,25.9273,0.182
0001,3104,1,10008,8,-6.6332,9.9002,0.292
0001,3104,2,20008,8,-0.5516,-5.8672,0.119
0001,3104,1,10009,9,-2.9278,-20.8795,0.069
0001,3104,2,20009,9,-8.7978,29.3121,0.403
0001,3104,1,10010,10,-3.0307,21.8786,0.247
0001,3104,2,20010,10,-1.1572,10.8968,0.369
0001,3104,1,10011,11,-6.1882,1.4667,0.16
0001,3104,2,20011,11,-5.1426,16.9268,0.056
