50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,,,3894529,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:00.000,Half Start 1,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1,0,,"[60.0, 40.0]",3894529,0.0,,,,,,,,False,,,-1.62,,Right Foot,,,,"[59.5, 29.5]",,Ground Pass,,10.51,,,,,,,,,,,,,Kick Off,1,Regular Play,Player L11,11602.0,Right Wing,1.0,AE Team 2024,266.0,,0.0,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:00.000,Pass,False
,,,,,"[60.9, 29.1]",,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,2,1,,"[59.5, 29.5]",3894529,0.008333333333333333,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Player L7,11598.0,Left Defensive Midfield,1.0,AE Team 2024,266.0,,0.5,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:00.500,Dribble,False
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3,2,,"[60.9, 29.1]",3894529,0.011666666666666665,,,,,,,,False,,,1.28,,Right Foot,,,,"[63.6, 38.0]",,Ground Pass,,9.3,,,,,,,,,,,,,,1,Regular Play,Player L7,11598.0,Left Defensive Midfield,1.0,AE Team 2024,266.0,,0.7,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:00.700,Pass,False
,,,,,"[66.6, 36.3]",,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,4,3,,"[63.6, 38.0]",3894529,0.021666666666666667,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Player L11,11602.0,Right Wing,1.0,AE Team 2024,266.0,,1.3,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:01.300,Dribble,False
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5,4,,"[66.6, 36.3]",3894529,0.028333333333333332,,,,,,,,False,,,-1.65,,Right Foot,,,,"[65.7, 24.6]",,Ground Pass,,11.73,,,,,,,,,,,,,,1,Regular Play,Player L11,11602.0,Right Wing,1.0,AE Team 2024,266.0,,1.7,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:01.700,Pass,False
,,,,,"[35.6, 75.1]",,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,6,418,,"[35.7, 75.4]",3894529,4.946666666666667,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Player R9,11611.0,Central Midfield,2.0,Cyrus 2024,274.0,,296.8,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:04:56.800,Dribble,False
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7,419,,"[34.6, 75.9]",3894529,4.953333333333333,,,,,,,,False,,,-0.12,,Right Foot,,,,"[49.3, 74.1]",,Ground Pass,,14.81,,,,,,,,,,,,,,1,Regular Play,Player R9,11611.0,Central Midfield,2.0,Cyrus 2024,274.0,,297.2,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:04:57.199,Pass,False
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8,420,,"[49.5, 73.0]",3894529,4.9766666666666675,,,,,,,,False,,,-1.2,,Right Foot,,,,"[53.2, 63.6]",,Ground Pass,,10.1,,,,,,,,,,,,,,1,Regular Play,Player R7,11609.0,Left Defensive Midfield,1.0,Cyrus 2024,274.0,,298.6,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:04:58.600,Pass,False
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9,421,,"[53.2, 63.6]",3894529,4.983333333333333,,,,,,,,False,,,-1.5,,Right Foot,,,,"[53.8, 55.6]",,Ground Pass,,8.02,,,,,,,,,,,,,,1,Regular Play,Player R5,11607.0,Left Back,1.0,Cyrus 2024,274.0,,299.0,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:04:59.000,Pass,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,,,3894529,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:04:59.000,Half End 1,
,,,,,"[60.0, 40.0]",,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,10,422,,"[53.8, 55.6]",3894529,4.988333333333333,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Player R6,11608.0,Right Defensive Midfield,1.0,Cyrus 2024,274.0,,299.3,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:04:59.300,Dribble,False
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,11,423,,"[60.0, 40.0]",3894529,0.0,,,,,,,,False,,,-1.0,,Right Foot,,,,"[63.3, 34.9]",,Ground Pass,,6.07,,,,,,,,,,,,,Kick Off,2,Regular Play,Player R6,11608.0,Right Defensive Midfield,1.0,Cyrus 2024,274.0,,0.0,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:00:00.000,Pass,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,3894529,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:00.000,Half Start 2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,,,3894529,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,AE Team 2024,266,00:00:00.000,Half End 2,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,12,424,,"[63.5, 35.5]",3894529,0.006666666666666667,,,,,,,,False,,,1.8,,Right Foot,,,,"[60.1, 50.4]",,Ground Pass,,15.28,,,,,,,,,,,,,,2,Regular Play,Player R8,11610.0,Right Midfield,1.0,Cyrus 2024,274.0,,0.4,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:00:00.400,Pass,False
,,,,,"[58.7, 53.7]",,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,,13,425,,"[60.1, 50.4]",3894529,0.016666666666666666,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Player R10,11612.0,Left Midfield,2.0,Cyrus 2024,274.0,,1.0,,,,,,,,,,,,,,,,,,,,,,Cyrus 2024,274,00:00:01.000,Dribble,False
