試合ID,フレーム番号,ホームアウェイF,システムターゲットID,背番号,座標X,座標Y,時速
2035353535,1715700,2,1,1,-39,-1024,0
2035353535,1715700,1,2,2,-6,-1862,0
2035353535,1715700,2,3,3,-2219,666,0
2035353535,1715700,2,4,4,-5152,83,0
2035353535,1715700,2,6,6,-1209,-2051,0
2035353535,1715700,1,8,8,2231,-706,0
2035353535,1715700,1,10,10,2530,581,0
2035353535,1715700,2,11,11,-1078,32,0
2035353535,1715700,1,12,12,755,-570,0
2035353535,1715700,1,13,13,1570,-2008,0
2035353535,1715700,1,14,14,-12,39,0
2035353535,1715700,1,16,16,1093,-116,0
2035353535,1715700,1,17,17,4149,-16,0
2035353535,1715700,2,18,18,-2248,-1250,0
2035353535,1715700,2,19,19,-147,967,0
2035353535,1715700,2,20,20,-1887,1875,0
2035353535,1715700,1,21,21,1056,682,0
2035353535,1715700,2,23,23,-895,-490,0
2035353535,1715700,1,24,24,1343,1776,0
2035353535,1715700,1,25,25,-26,2277,0
2035353535,1715700,2,27,27,-875,791,0
2035353535,1715700,2,28,28,-2140,-191,0
2035353535,1715700,0,0,0,0,0,0
